codigo,descripcion,capitulo,grupo,categoria_codigo,categoria_descripcion,nivel,activo,linea_origen
A00,COLERA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,CATEGORIA,1,5
A000,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,6
A001,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,7
A009,"COLERA, NO ESPECIFICADO",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,8
A0090,SOSPECHOSO DE COLERA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,9
A0091,SOSPECHOSO DE COLERA NO ESPECIFICADO SIN DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,10
A0092,SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,11
A0093,SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION CON SHOCK,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,12
A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,CATEGORIA,1,13
A010,FIEBRE TIFOIDEA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,14
A0109,FIEBRE TIFOIDEA CON DIARREA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,15
A011,FIEBRE PARATIFOIDEA A,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,16
A012,FIEBRE PARATIFOIDEA B,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,17
A013,FIEBRE PARATIFOIDEA C,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,18
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,19
A0141,FIEBRE PARATIFOIDEA NO ESPECIFICADA CON DIARREA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,20
A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,CATEGORIA,1,21
A020,ENTERITIS DEBIDA A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,22
A021,SEPSIS DEBIDA A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,23
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,24
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,25
A029,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,26
A03,SHIGELOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,CATEGORIA,1,27
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,28
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,29
